	n_cands	exec_time	routes_found	best_elevation
0	64	18	80	102.11851692199707
1	128	6	240	80.19100379943848
2	256	11	394	107.97650909423828
3	512	20	825	107.03886222839355
4	1024	32	1380	118.51749801635742
5	2048	69	2495	99.30297088623047
6	4096	135	5391	116.47249603271484
7	8192	284	17175	99.91385650634766
8	16384	602	25048	95.98184204101562
9	32768	1201	69809	109.4275016784668
