	n_cands	exec_time	routes_found	best_elevation
0	64	15	67	171.39728927612305
1	128	4	150	192.92663764953613
2	256	5	149	181.00464630126953
3	512	9	780	182.01763534545898
4	1024	19	2537	202.79764366149902
5	2048	31	2275	193.9196434020996
6	4096	55	3088	202.8066463470459
7	8192	148	30136	199.500638961792
8	16384	252	33564	193.00329971313477
